Time [s],Bend Die Lateral Max Torque [%],Bend Die Rotating Max Torque [%],Bend Die Vertical Max Torque [%],Bend Die Lateral Movement [mm],Bend Die Rotating Angle [°],Bend Die Vertical Movement [mm],Collet Axial Max Torque [%],Collet Rotating Max Torque [%],Collet Axial Movement [mm],Collet Rotating Movement [mm],Mandrel Axial Load [kN],Manrel Axial Movement [mm],Pressure Die Axial Max Torque [%],Pressure Die Lateral Max Torque [%],Pressure Die Left Axial Max Torque [%],Pressure Die Axial Movement [mm],Pressure Die Lateral Movement [mm],Pressure Die Left Axial Movement [mm],Clamp Die Lateral Max Torque [%],Clamp Die Lateral Movement [mm]
28.6,10.50131893157960,-8.138568878173830,-11.703703880310100,-33.0,55.24610137939450,19.75,-5.714664936065670,2.738095283508300,-272.58770751953100,209.88040161132800,0.071610580293548,-2907.599853515630,0.0,-4.176499843597410,0.17499999701976800,12.608599662780800,-50.45000076293950,-7.5,39.125,225.39999389648400
28.650000000000000,10.50131893157960,-8.148569107055660,-11.703703880310100,-33.0,55.08060073852540,19.75,-5.685998916625980,2.738095283508300,-272.50201416015600,209.88040161132800,0.0632357202301338,-2907.60009765625,0.0,-4.163000106811520,0.17499999701976800,12.696599960327100,-50.45000076293950,-7.5,39.099998474121100,225.39999389648400
28.700000000000000,10.527705192565900,-8.107144355773930,-11.703703880310100,-33.0,54.91619873046880,19.75,-5.757333755493160,2.738095283508300,-272.4219970703130,209.88040161132800,0.058210804192726,-2907.599853515630,0.0,-4.154998779296880,0.17499999701976800,12.775099754333500,-50.45000076293950,-7.5,39.099998474121100,225.39999389648400
28.75,10.527705192565900,-8.077858924865720,-11.703703880310100,-33.0,54.757198333740200,19.75,-5.814667224884030,2.738095283508300,-272.339599609375,209.88040161132800,0.0665856642553343,-2907.60009765625,0.0,-4.149999141693120,0.17499999701976800,12.860400199890100,-50.45000076293950,-7.5,39.099998474121100,225.39999389648400
28.8,10.527705192565900,-8.078573226928710,-11.740740776062000,-33.000099182128900,54.60530090332030,19.75,-5.865334510803220,2.738095283508300,-272.2669982910160,209.88040161132800,0.0649106922427072,-2907.599853515630,0.0,-4.155499458312990,0.17499999701976800,12.934300422668500,-50.45000076293950,-7.5,39.07500076293950,225.39999389648400
28.85,10.527705192565900,-8.058572769165040,-11.740740776062000,-33.0,54.46009826660160,19.750200271606400,-5.535333633422850,2.738095283508300,-272.18890380859400,209.88040161132800,0.0766354963322813,-2907.60009765625,0.0,-4.155499458312990,0.15000000596046400,13.013799667358400,-50.45000076293950,-7.5,39.07500076293950,225.39999389648400
28.900000000000000,10.554089546203600,-8.036428451538090,-11.703703880310100,-33.0,54.321998596191400,19.75,-5.500665664672850,2.738095283508300,-272.1243896484380,209.88040161132800,0.0632357202301338,-2907.60009765625,0.0,-4.159499645233150,0.17499999701976800,13.075599670410200,-50.45000076293950,-7.5,39.04999923706060,225.39999389648400
28.950000000000000,10.580474853515600,-8.084285736083980,-11.703703880310100,-33.0,54.19070053100590,19.75,-5.44399881362915,2.738095283508300,-272.0591125488280,209.88040161132800,0.0649106922427072,-2907.599853515630,0.0,-4.166999816894530,0.17499999701976800,13.141500473022500,-50.45000076293950,-7.5,39.04999923706060,225.39999389648400
29.0,10.554089546203600,-8.098570823669430,-11.703703880310100,-33.0,54.066001892089800,19.749900817871100,-5.439998626708980,2.738095283508300,-271.9930114746090,209.88040161132800,0.0682606362680161,-2907.60009765625,0.0,-4.161499500274660,0.17499999701976800,13.208999633789100,-50.45000076293950,-7.5,39.04999923706060,225.39999389648400
29.05,10.554089546203600,-8.019286155700680,-11.703703880310100,-33.0,53.94850158691410,19.75,-5.783999443054200,2.738095283508300,-271.9361877441410,209.88040161132800,0.0749605243193107,-2907.599853515630,0.0,-4.155499458312990,0.15000000596046400,13.263400077819800,-50.45000076293950,-7.5,39.025001525878900,225.39999389648400
29.1,10.580474853515600,-8.072857856750490,-11.703703880310100,-33.0,53.83769989013670,19.75,-5.712001323699950,2.738095283508300,-271.881591796875,209.88040161132800,0.0665856642553343,-2907.599609375,0.0,-4.151998996734620,0.17499999701976800,13.318699836731000,-50.45000076293950,-7.5,39.025001525878900,225.39999389648400
29.150000000000000,10.554089546203600,-8.185713768005370,-11.740740776062000,-32.999900817871100,53.733699798584000,19.750200271606400,-5.520001411437990,2.738095283508300,-271.82391357421900,209.88040161132800,0.0699356082807537,-2907.600341796880,0.0,-4.15649938583374,0.17499999701976800,13.380399703979500,-50.45000076293950,-7.5,39.04999923706060,225.39999389648400
