BendDieBendingAngle,BendDieLateralMovement,ColletAxialForce,ColletAxialMovement,MandrelAxialForce,MandrelAxialMovement,PressureDieAxialForce,PressureDieAxialMovement,PressureDieLateralForce,WiperDieAxialForce,WiperDieLateralForce,WiperDieLateralMovement,Diameter tube [mm],Wallthickness tube [mm],Mandrel extraction before bending end [],Collet boost [-],Clearance pressure die [mm]
62.590385060683616,-0.23313164711,-1.4881240129,34.247020721,1.4681130648,-51.219924927,0.24979782104,-79.999992371,2.2929484844,0.0,0.0,-0.001453665318,21.7,0.8,0,0.95,0.0
62.641522689814636,-0.23612269759,-1.3811132908,34.275001526,1.4788585901,-51.219924927,0.25023531914,-79.999992371,2.2935016155,0.0,0.0,-0.00042430614121,21.7,0.8,0,0.95,0.0
62.69266031321608,-0.23843692243,-1.4446464777,34.30298233,1.6857911348,-51.219924927,0.25168716908,-79.999992371,2.3051466942,0.0,0.0,0.001520705875,21.7,0.8,0,0.95,0.0
62.743791112690175,-0.23979251087,-1.6820018291,34.33095932,1.6453193426,-51.219924927,0.2518684864,-79.999992371,2.3177483082,0.0,0.0,0.00018403411377,21.7,0.8,0,0.95,0.0
62.79492873609162,-0.24026435614,-1.8104813099,34.358940125,1.6695505381,-51.219924927,0.25020521879,-79.999992371,2.3181188107,0.0,0.0,-0.0015497832792,21.7,0.8,0,0.95,0.0
62.846066365222626,-0.23978471756,-1.8383274078,34.386920929,1.6978582144,-51.219924927,0.25098708272,-79.999992371,2.3301308155,0.0,0.0,6.0832160671e-05,21.7,0.8,0,0.95,0.0
62.897203988624064,-0.23810239136,-1.7240145206,34.414901733,1.8208671808,-51.219924927,0.25208380818,-79.999992371,2.336761713,0.0,0.0,0.0015401717974,21.7,0.8,0,0.95,0.0
62.948341617755084,-0.23534670472,-1.541270256,34.442878723,1.8417577744,-51.219924927,0.25063413382,-79.999992371,2.3168196678,0.0,0.0,-0.00030417981907,21.7,0.8,0,0.95,0.0
62.9994724114996,-0.23209220171,-1.4919879436,34.470859528,1.6331137419,-51.219924927,0.25177583098,-79.999992371,2.3131775856,0.0,0.0,-0.0014921113616,21.7,0.8,0,0.95,0.0
63.05061004063062,-0.22874848545,-1.3541311026,34.498840332,1.5865437984,-51.219924927,0.25172516704,-79.999992371,2.3065650463,0.0,0.0,0.00053993391339,21.7,0.8,0,0.95,0.0
63.101747664032054,-0.22575488687,-1.1490854025,34.526821136,1.5848033428,-51.219924927,0.25082150102,-79.999992371,2.2992763519,0.0,0.0,0.0014068016317,21.7,0.8,0,0.95,0.0
63.152885293163074,-0.22336949408,-1.2066167593,34.554798126,1.5280320644,-51.219924927,0.250623703,-79.999992371,2.3085041046,0.0,0.0,-0.00076220900519,21.7,0.8,0,0.95,0.0
63.20402291656451,-0.22218030691,-1.2909529209,34.582778931,1.4254835844,-51.219924927,0.25174438953,-79.999992371,2.3257572651,0.0,0.0,-0.0012863723096,21.7,0.8,0,0.95,0.0
63.25516054569553,-0.22221636772,-1.4622693062,34.610759735,0.95327693224,-51.219924927,0.25566706061,-79.999992371,2.3585445881,0.0,0.0,0.00096545624547,21.7,0.8,0,0.95,0.0
63.30629133944005,-0.223181054,-1.5301177502,34.638736725,0.8373966217,-51.219924927,0.25905257463,-79.999992371,2.3888988495,0.0,0.0,0.0011338299373,21.7,0.8,0,0.95,0.0
63.35742896857106,-0.22470827401,-1.7766973972,34.666717529,0.67706781626,-51.219924927,0.26058116555,-79.999992371,2.4030368328,0.0,0.0,-0.0011446017306,21.7,0.8,0,0.95,0.0
63.4085665919725,-0.22653178871,-2.0011563301,34.694698334,0.82612597942,-51.219924927,0.26300987601,-79.999992371,2.425080061,0.0,0.0,-0.00095298246015,21.7,0.8,0,0.95,0.0
63.45970422110352,-0.22852659225,-2.0414814949,34.722679138,0.78930968046,-51.219924927,0.26392263174,-79.999992371,2.4297323227,0.0,0.0,0.0012951733079,21.7,0.8,0,0.95,0.0
63.51084184450496,-0.23023051023,-1.9400486946,34.750656128,0.73550021648,-51.219924927,0.26187452674,-79.999992371,2.4153223038,0.0,0.0,0.00074834469706,21.7,0.8,0,0.95,0.0
63.56197264397906,-0.23195266724,-1.775592804,34.778636932,0.91543531418,-51.219924927,0.25904867053,-79.999992371,2.3922727108,0.0,0.0,-0.0014134119265,21.7,0.8,0,0.95,0.0
63.6131102673805,-0.23383800685,-1.7010563612,34.806617737,1.0877156258,-51.219924927,0.25698974729,-79.999992371,2.3676948547,0.0,0.0,-0.00052502512699,21.7,0.8,0,0.95,0.0
63.664247896511505,-0.23579014838,-1.8709504604,34.834598541,1.2171261311,-51.219924927,0.25331091881,-79.999992371,2.3279426098,0.0,0.0,0.0014963661088,21.7,0.8,0,0.95,0.0
63.71538551991295,-0.23774918914,-2.0839438438,34.862575531,1.2893168926,-51.219924927,0.25149536133,-79.999992371,2.3028805256,0.0,0.0,0.00028859879239,21.7,0.8,0,0.95,0.0
63.76652314904397,-0.23954825103,-2.1102685928,34.890556335,1.5377284288,-51.219924927,0.24923503399,-79.999992371,2.2846338749,0.0,0.0,-0.0015419648262,21.7,0.8,0,0.95,0.0
63.81765394278849,-0.24128703773,-2.1262550354,34.91853714,1.6564000845,-51.219924927,0.24761894345,-79.999992371,2.2756130695,0.0,0.0,-4.4967837312e-05,21.7,0.8,0,0.95,0.0
63.86879157191951,-0.2429087311,-1.8961551189,34.946517944,1.8311780691,-51.219924927,0.24675829709,-79.999992371,2.2782382965,0.0,0.0,0.0015490697697,21.7,0.8,0,0.95,0.0
63.91992919532093,-0.24414440989,-1.8529413939,34.974494934,1.9640082121,-51.219924927,0.24502134323,-79.999992371,2.2710297108,0.0,0.0,-0.00019978568889,21.7,0.8,0,0.95,0.0
63.97106682445195,-0.24498192966,-1.9350056648,35.002475739,2.0068480968,-51.219924927,0.24833077192,-79.999992371,2.2975180149,0.0,0.0,-0.0015175035223,21.7,0.8,0,0.95,0.0
64.0222044478534,-0.24528729916,-2.0479424,35.030456543,1.954755187,-51.219924927,0.25025457144,-79.999992371,2.3105123043,0.0,0.0,0.00043955174624,21.7,0.8,0,0.95,0.0
64.07334207698442,-0.24478185177,-2.3614370823,35.058437347,1.9063044786,-51.219924927,0.2535097301,-79.999992371,2.3296120167,0.0,0.0,0.0014480542159,21.7,0.8,0,0.95,0.0
